<x_nom> küsst <x_poss_f_acc> <y_rom_f_acc>.;none;[];[]
<x_nom> küsst <x_poss_m_acc> <y_rom_m_acc>.;none;[];[]
<x_nom> küsst <x_poss_n_acc> Date;none;[];[]
<x_nom> liebt <x_poss_f_acc> <y_rom_f_acc>.;none;[];[]
<x_nom> liebt <x_poss_m_acc> <y_rom_m_acc>.;none;[];[]
<x_nom> liebt <x_poss_n_acc> Date;none;[]
<x_nom> schreibt <x_poss_f_dat> <y_rom_f_dat> einen Liebesbrief.;none;[];[]
<x_nom> schreibt <x_poss_m_dat> <y_rom_m_dat> einen Liebesbrief.;none;[];[]
<x_nom> schreibt <x_poss_n_dat> Date einen Liebesbrief.;none;[]
<x_nom> presst <x_poss_f_acc> <y_rom_f_acc> an sich.;none;[];[]
<x_nom> presst <x_poss_m_acc> <y_rom_m_acc> an sich.;none;[];[]
<x_nom> presst <x_poss_n_acc> Date an sich.;none;[]
<x_nom> zieht <x_poss_f_acc> <y_rom_f_acc> nah zu sich und sie küssen sich leidenschaftlich.;none;[];[]
<x_nom> zieht <x_poss_m_acc> <y_rom_m_acc> nah zu sich und sie küssen sich leidenschaftlich.;none;[];[]
<x_nom> zieht <x_poss_n_acc> Date nah zu sich und sie küssen sich leidenschaftlich.;none;[]
<x_nom> flüstert <x_poss_m_dat> <y_rom_m_dat> ein Kompliment zu.;none;[];[]
<x_nom> flüstert <x_poss_f_dat> <y_rom_f_dat> ein Kompliment zu.;none;[];[]
<x_nom> flüstert <x_poss_n_dat> Date ein Kompliment zu.;none;[]

<name> ist <x_nom>.;none;[];[]
<name> wurde kürzlich <x_nom>.;none;[];[]
<name> arbeitet als <x_nom>.;none;[];[]
Zurzeit arbeitet <name> als <x_nom>.;none;[];[]
Seit Jahren arbeitet <name> als <x_nom>.;none;[];[]
